Paper ID,Citation Paper ID
1581,36
1581,86
1581,93
1581,105
1581,110
1581,126
1581,132
1581,133
1581,134
1581,142
1581,169
1581,185
1581,189
1581,213
1581,228
1581,237
1581,271
1581,272
1581,348
1581,357
1581,368
1581,380
1581,385
1581,396
1581,404
1581,413
1581,416
1581,418
1581,434
1581,437
1581,465
1581,489
1581,507
1581,522
1581,525
1581,534
1581,542
1581,549
1581,556
1581,559
1581,566
1581,575
1581,579
1581,583
1581,584
1581,599
1581,612
1581,622
1581,639
1581,655
1581,663
1581,669
1581,673
1581,690
1581,699
1581,708
1581,711
1581,735
1581,803
1581,804
1581,856
1581,859
1581,868
1581,870
1581,895
1581,918
1581,922
1581,923
1581,932
1581,941
1581,943
1581,985
1581,993
1581,1028
1581,1040
1581,1057
1581,1072
1581,1080
1581,1092
1581,1094
1581,1131
1581,1136
1581,1138
1581,1142
1581,1166
1581,1168
1581,1199
1581,1202
1581,1217
1581,1218
1581,1221
1581,1228
1581,1231
1581,1245
1581,1265
1581,1266
1581,1283
1581,1306
1581,1309
1581,1311
1581,1312
1581,1322
1581,1324
1581,1334
1581,1347
1581,1370
1581,1373
1581,1385
1581,1402
1581,1405
1581,1413
1581,1439
1581,1449
1581,1454
1581,1459
1581,1461
1581,1469
1581,1484
1581,1485
1581,1512
1581,1514
1581,1552
1581,1555
1581,1558
1581,1593
1581,1598
1581,1603
1581,1614
1581,1629
1581,1632
1581,1633
1581,1635
1581,1642
1581,1644
1581,1648
1581,1652
1581,1655
1581,1679
1581,1681
1581,1682
1581,1688
1581,1690
1581,1693
1581,1697
1581,1701
1581,1706
1581,1713
1581,1718
1581,1724
1581,1726
1581,1727
1581,1729
1581,1733
1581,1741
1581,1745
1581,1765
1581,1769
1581,1783
1581,1814
1581,1815
1581,1816
1581,1821
1581,1822
1581,1824
1581,1835
1581,1838
1581,1870
1581,1886
1581,1891
1581,1892
1581,1893
1581,1894
1581,1928
1581,1935
1581,1982
1581,1984
1581,1997
1581,2000
1581,2033
1581,2044
1581,2045
1581,2062
1581,2114
1581,2116
1581,2122
1581,2132
1581,2134
1581,2159
1581,2161
1581,2169
1581,2178
1581,2184
1581,2231
1581,2247
1581,2250
1581,2253
1581,2255
1581,2260
1581,2263
1581,2272
1581,2277
1581,2280
1581,2283
1581,2295
1581,2305
1581,2306
1581,2333
1581,2334
1581,2337
1581,2339
1581,2387
1581,2427
1581,2444
1581,2459
1581,2464
1581,2488
1581,2501
1581,2530
1581,2533
1581,2539
1581,2540
1581,2543
1581,2557
1581,2558
1581,2562
1581,2569
1581,2571
1581,2577
1581,2593
1581,2601
1581,2603
1581,2611
1581,2633
1581,2648
1581,2649
1581,2653
1581,2692
1581,2710
1581,2726
1581,2731
1581,2733
1581,2736
1581,2739
1581,2743
1581,2851
1581,2890
1581,2904
1581,2926
1581,2938
1581,2944
1581,2952
1581,2961
1581,2987
1581,2992
1581,3005
1581,3023
1581,3024
1581,3027
1581,3029
1581,3031
1581,3038
1581,3134
1581,3137
1581,3138
1581,3154
1581,3164
1581,3170
1581,3172
1581,3177
1581,3188
1581,3197
1581,3199
1581,3204
1581,3216
1581,3230
1581,3231
1581,3235
1581,3241
1581,3242
1581,3248
1581,3250
1581,3251
1581,3255
1581,3256
1581,3314
1581,3332
1581,3340
1581,3347
1581,3355
1581,3358
1581,3363
1581,3365
1581,3388
1581,3391
1581,3394
1581,3410
1581,3426
1581,3430
1581,3445
1581,3454
1581,3457
1581,3476
1581,3477
1581,3484
1581,3488
1581,3508
1581,3511
1581,3515
1581,3516
1581,3520
1581,3545
1581,3546
1581,3547
3288,86
3288,101
3288,107
3288,110
3288,148
3288,228
3288,259
3288,281
3288,303
