PaperId,Category
433,cs.CL
434,cs.CL
435,cs.CL
436,cs.CL
438,cs.CL
439,cs.CL
441,cs.CL
442,cs.CL
443,cs.CL
444,cs.CL
445,cs.CL
447,cs.CL
448,cs.CL
449,cs.CL
450,cs.CL
451,cs.CL
452,cs.CL
453,cs.CL
454,cs.CL
455,cs.CL
456,cs.CL
457,cs.CL
458,cs.CL
459,cs.CL
460,cs.CL
461,cs.CL
462,cs.CL
463,cs.CL
464,cs.CL
465,cs.CL
466,cs.CL
467,cs.CL
468,cs.CL
469,cs.CL
470,cs.CL
471,cs.CL
472,cs.CL
473,cs.CL
474,cs.CL
475,cs.CL
476,cs.CL
477,cs.CL
478,cs.CL
479,cs.CL
480,cs.CL
481,cs.CL
483,cs.CL
484,cs.CL
485,cs.CL
486,cs.CL
487,cs.CL
488,cs.CL
489,cs.CL
491,cs.CL
492,cs.CL
494,cs.CL
498,cs.CL
500,cs.CL
501,cs.CL
502,cs.CL
503,cs.CL
504,cs.CL
505,cs.CL
506,cs.CL
508,cs.CL
509,cs.CL
510,cs.CL
511,cs.CL
512,cs.CL
513,cs.CL
514,cs.CL
515,cs.CL
516,cs.CL
517,cs.CL
518,cs.CL
519,cs.CL
520,cs.CL
521,cs.CL
522,cs.CL
523,cs.CL
524,cs.CL
525,cs.CL
526,cs.CL
527,cs.CL
528,cs.CL
529,cs.CL
531,cs.CL
532,cs.CL
533,cs.CL
534,cs.CL
536,cs.CL
537,cs.CL
538,cs.CL
539,cs.CL
540,cs.CL
542,cs.CL
543,cs.CL
544,cs.CL
545,cs.CL
546,cs.CL
547,cs.CL
548,cs.CL
549,cs.CL
550,cs.CL
551,cs.CL
552,cs.CL
553,cs.CL
554,cs.CL
555,cs.CL
556,cs.CL
557,cs.CL
558,cs.CL
559,cs.CL
560,cs.CL
561,cs.CL
562,cs.CL
563,cs.CL
564,cs.CL
565,cs.CL
566,cs.CL
567,cs.CL
568,cs.CL
569,cs.CL
570,cs.CL
572,cs.CL
573,cs.CL
575,cs.CL
576,cs.CL
578,cs.CL
579,cs.CL
580,cs.CL
581,cs.CL
582,cs.CL
583,cs.CL
584,cs.CL
585,cs.CL
587,cs.CL
588,cs.CL
589,cs.CL
590,cs.CL
591,cs.CL
592,cs.CL
594,cs.CL
595,cs.CL
596,cs.CL
597,cs.CL
598,cs.CL
599,cs.CL
600,cs.CL
602,cs.CL
603,cs.CL
605,cs.CL
606,cs.CL
607,cs.CL
609,cs.CL
611,cs.CL
612,cs.CL
613,cs.CL
614,cs.CL
615,cs.CL
616,cs.CL
617,cs.CL
618,cs.CL
619,cs.CL
621,cs.CL
622,cs.CL
623,cs.CL
624,cs.CL
626,cs.CL
627,cs.CL
628,cs.CL
629,cs.CL
630,cs.CL
631,cs.CL
632,cs.CL
633,cs.CL
634,cs.CL
635,cs.CL
636,cs.CL
637,cs.CL
638,cs.CL
639,cs.CL
640,cs.CL
641,cs.CL
642,cs.CL
643,cs.CL
644,cs.CL
645,cs.CL
646,cs.CL
648,cs.CL
649,cs.CL
650,cs.CL
651,cs.CL
652,cs.CL
653,cs.CL
654,cs.CL
655,cs.CL
656,cs.CL
657,cs.CL
659,cs.CL
661,cs.CL
663,cs.CL
664,cs.CL
665,cs.CL
666,cs.CL
667,cs.CL
668,cs.CL
669,cs.CL
670,cs.CL
671,cs.CL
673,cs.CL
674,cs.CL
675,cs.CL
676,cs.CL
677,cs.CL
678,cs.CL
679,cs.CL
682,cs.CL
684,cs.CL
685,cs.CL
686,cs.CL
687,cs.CL
688,cs.CL
689,cs.CL
690,cs.CL
691,cs.CL
692,cs.CL
693,cs.CL
694,cs.CL
695,cs.CL
697,cs.CL
698,cs.CL
699,cs.CL
700,cs.CL
701,cs.CL
702,cs.CL
703,cs.CL
704,cs.CL
705,cs.CL
707,cs.CL
708,cs.CL
709,cs.CL
710,cs.CL
711,cs.CL
712,cs.CL
713,cs.CL
714,cs.CL
715,cs.CL
716,cs.CL
717,cs.CL
718,cs.CL
719,cs.CL
720,cs.CL
722,cs.CL
723,cs.CL
724,cs.CL
725,cs.CL
726,cs.CL
727,cs.CL
728,cs.CL
729,cs.CL
730,cs.CL
731,cs.CL
732,cs.CL
733,cs.CL
734,cs.CL
735,cs.CL
736,cs.CL
737,cs.CL
738,cs.CL
739,cs.CL
740,cs.CL
741,cs.CL
742,cs.CL
743,cs.CL
744,cs.CL
745,cs.CL
746,cs.CL
747,cs.CL
748,cs.CL
749,cs.CL
750,cs.CL
751,cs.CL
752,cs.CL
753,cs.CL
754,cs.CL
755,cs.CL
756,cs.CL
757,cs.CL
758,cs.CL
759,cs.CL
760,cs.CL
761,cs.CL
762,cs.CL
763,cs.CL
764,cs.CL
765,cs.CL
766,cs.CL
767,cs.CL
